symbol,strategy,model_branch,signals_evaluated,signals_generated,executable_intents,blocked_intents,avg_signal_strength,avg_expected_return,avg_fee_adjusted_expected_return,realized_pnl,average_win,average_loss,expectancy,profit_factor,drawdown,closing_legs,blocked_intent_rate_pct,intent_conversion_rate_pct,winners,losers
00-USD,ml_enhanced_orderbook,unknown,39,37,0,37,0.3899146914,-0.1970958102,0.1718344832,0.0,,,,,0.0,0,100.000000,0.000000,0,0
1INCH-USD,ml_enhanced_orderbook,unknown,39,32,0,32,0.2744390770,0.2880428797,0.2592948748,0.0,,,,,0.0,0,100.000000,0.000000,0,0
2Z-USD,ml_enhanced_orderbook,unknown,39,7,0,7,0.1392363778,0.0116475501,0.1223888601,0.0,,,,,0.0,0,100.000000,0.000000,0,0
A8-USD,ml_enhanced_orderbook,unknown,39,33,0,33,0.3622322018,0.2742955445,0.2341349336,0.0,,,,,0.0,0,100.000000,0.000000,0,0
AAVE-USD,ml_enhanced_orderbook,unknown,39,15,0,15,0.1682690940,0.0457483587,0.2097467945,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ABT-USD,ml_enhanced_orderbook,unknown,39,11,0,11,0.1235752327,0.0847299187,0.1629718204,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ACH-USD,ml_enhanced_orderbook,unknown,39,11,0,11,0.1549911241,0.0935151455,0.1480284198,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ACS-USD,ml_enhanced_orderbook,unknown,39,16,0,16,0.2968307428,-0.7470867150,0.0307218464,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ADA-USD,ml_enhanced_orderbook,unknown,39,7,0,7,0.1269946477,-0.1961039704,0.2051146758,0.0,,,,,0.0,0,100.000000,0.000000,0,0
AERGO-USD,ml_enhanced_orderbook,unknown,39,16,0,16,0.2377085632,0.2075250759,0.2745839763,0.0,,,,,0.0,0,100.000000,0.000000,0,0
AERO-USD,ml_enhanced_orderbook,unknown,39,8,0,8,0.1301885325,0.1082588346,0.1474345984,0.0,,,,,0.0,0,100.000000,0.000000,0,0
AGLD-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0987290634,,,0.0,,,,,0.0,0,,,0,0
AI-USD,ml_enhanced_orderbook,unknown,39,37,0,37,0.3076196449,-0.2224721047,0.2005113557,0.0,,,,,0.0,0,100.000000,0.000000,0,0
AIOZ-USD,ml_enhanced_orderbook,unknown,39,2,0,2,0.0972421957,0.1837988272,0.1650071939,0.0,,,,,0.0,0,100.000000,0.000000,0,0
AKT-USD,ml_enhanced_orderbook,unknown,39,7,0,7,0.1293393829,0.0057603264,0.4020794313,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ALCX-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.3820640789,0.3635695233,0.3288274982,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ALEO-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.7719032856,-0.6916524493,0.6664332101,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ALEPH-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.6531705138,-0.5829636539,0.5562454809,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ALGO-USD,ml_enhanced_orderbook,unknown,39,7,0,7,0.1396043998,-0.0663872920,0.1272883823,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ALICE-USD,ml_enhanced_orderbook,unknown,39,5,0,5,0.0644121341,-0.1237335093,0.1668956609,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ALIGN-USD,ml_enhanced_orderbook,unknown,39,15,0,15,0.1760276982,0.2988402414,0.2763417308,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ALLO-USD,ml_enhanced_orderbook,unknown,39,32,0,32,0.3522938079,0.2314174683,0.2138087451,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ALT-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.5033011291,-0.4627069365,0.4299944784,0.0,,,,,0.0,0,100.000000,0.000000,0,0
AMP-USD,ml_enhanced_orderbook,unknown,39,12,0,12,0.1555307256,-0.4079084545,0.1485589695,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ANKR-USD,ml_enhanced_orderbook,unknown,39,1,0,1,0.0857227291,-0.0879147649,0.0451083133,0.0,,,,,0.0,0,100.000000,0.000000,0,0
APE-USD,ml_enhanced_orderbook,unknown,39,30,0,30,0.3915040208,0.5939480652,0.5762235455,0.0,,,,,0.0,0,100.000000,0.000000,0,0
API3-USD,ml_enhanced_orderbook,unknown,39,4,0,4,0.1476378000,0.2476615086,0.2249924454,0.0,,,,,0.0,0,100.000000,0.000000,0,0
APR-USD,ml_enhanced_orderbook,unknown,39,8,0,8,0.1303982611,-0.1471539419,0.1292183868,0.0,,,,,0.0,0,100.000000,0.000000,0,0
APT-USD,ml_enhanced_orderbook,unknown,39,4,0,4,0.1221893918,0.1786891595,0.1614035057,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ARB-USD,ml_enhanced_orderbook,unknown,39,21,0,21,0.2651827289,0.2933166550,0.2752343716,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ARKM-USD,ml_enhanced_orderbook,unknown,39,24,0,24,0.2544869086,0.2530154915,0.2257129507,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ARPA-USD,ml_enhanced_orderbook,unknown,39,25,0,25,0.2076754622,-0.1751680118,0.1455897657,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ARX-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.5157047197,-0.3903570634,0.3697279426,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ASM-USD,ml_enhanced_orderbook,unknown,39,28,0,28,0.2711353861,0.2755355070,0.2396446572,0.0,,,,,0.0,0,100.000000,0.000000,0,0
AST-USD,ml_enhanced_orderbook,unknown,39,13,0,13,0.2696159532,0.1075280615,0.0672951009,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ASTER-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0433549368,,,0.0,,,,,0.0,0,,,0,0
ATH-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.4171431286,-0.3778142241,0.3387042678,0.0,,,,,0.0,0,100.000000,0.000000,0,0
ATOM-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.7977445095,0.6826256254,0.6651057235,0.0,,,,,0.0,0,100.000000,0.000000,0,0
AUCTION-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.1563280179,,,0.0,,,,,0.0,0,,,0,0
AUDIO-USD,ml_enhanced_orderbook,unknown,39,11,0,11,0.1876028963,0.1566432213,0.1318611202,0.0,,,,,0.0,0,100.000000,0.000000,0,0
AURORA-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0203933729,,,0.0,,,,,0.0,0,,,0,0
AVAX-USD,ml_enhanced_orderbook,unknown,39,19,0,19,0.2018335217,0.1394431922,0.1222666354,0.0,,,,,0.0,0,100.000000,0.000000,0,0
AVNT-USD,ml_enhanced_orderbook,unknown,39,8,0,8,0.1518326619,0.0760499460,0.0580294454,0.0,,,,,0.0,0,100.000000,0.000000,0,0
AVT-USD,ml_enhanced_orderbook,unknown,39,18,0,18,0.3101690170,0.5029843061,0.4785182953,0.0,,,,,0.0,0,100.000000,0.000000,0,0
AWE-USD,ml_enhanced_orderbook,unknown,39,24,0,24,0.2368338710,0.2096524043,0.1857016896,0.0,,,,,0.0,0,100.000000,0.000000,0,0
AXL-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0613156003,,,0.0,,,,,0.0,0,,,0,0
AXS-USD,ml_enhanced_orderbook,unknown,39,0,0,0,0.0470957462,,,0.0,,,,,0.0,0,,,0,0
AZTEC-USD,ml_enhanced_orderbook,unknown,39,5,0,5,0.1752385067,-0.1239968352,0.0996313709,0.0,,,,,0.0,0,100.000000,0.000000,0,0
B3-USD,ml_enhanced_orderbook,unknown,39,18,0,18,0.2655512832,0.5062589977,0.2813017633,0.0,,,,,0.0,0,100.000000,0.000000,0,0
BADGER-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.3408339016,0.2931638849,0.2574853218,0.0,,,,,0.0,0,100.000000,0.000000,0,0
BAL-USD,ml_enhanced_orderbook,unknown,39,2,0,2,0.0711762038,0.2586729303,0.2382628706,0.0,,,,,0.0,0,100.000000,0.000000,0,0
BAND-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.5305976203,0.4716241642,0.4487832545,0.0,,,,,0.0,0,100.000000,0.000000,0,0
BARD-USD,ml_enhanced_orderbook,unknown,39,39,0,39,0.4429024351,0.4124201215,0.3945240386,0.0,,,,,0.0,0,100.000000,0.000000,0,0
BASED1-USD,ml_enhanced_orderbook,unknown,39,8,0,8,0.1694975229,0.1360542695,0.1918920561,0.0,,,,,0.0,0,100.000000,0.000000,0,0
